track_title,artist_title,explicit,duration_ms,acousticness,danceability,energy,instrumentalness,key,liveliness,loudness,mode,speechiness,tempo,time_signature,valence,metric,billboard_hit
operator,midnight star,f,448240,0.0112,0.804,0.8270000000000001,0.0038799999999999998,11.0,0.0909,-8.187999999999999,0.0,0.0441,125.27600000000001,4.0,0.7,0.37743295048463219096,1.0
freek-a-leek,petey pablo,f,235186,0.0751,0.762,0.652,0.0,5.0,0.359,-4.49,0.0,0.225,104.965,4.0,0.664,2.09255539082361469551,0.0
freek-a-leek,petey pablo,t,235186,0.0744,0.7559999999999999,0.691,0.0,2.0,0.364,-3.718,1.0,0.17800000000000002,104.999,4.0,0.632,2.09255539082361469551,1.0
done.,the band perry,f,205266,0.322,0.65,0.89,0.0,1.0,0.0543,-2.995,1.0,0.0366,100.053,4.0,0.757,0.35295462527651519885,1.0
done.,the band perry,f,205266,0.304,0.6509999999999999,0.889,0.0,6.0,0.0539,-2.988,1.0,0.0367,100.04,4.0,0.76,0.35295462527651519885,1.0
southernplayalisticadillacmuzik,outkast,f,317506,0.0162,0.69,0.8340000000000001,0.0,10.0,0.0559,-5.8,0.0,0.225,172.392,4.0,0.58,0.11989404981599224529,1.0
violence of summer (love's taking over),duran duran,f,262266,0.384,0.679,0.773,0.0000352,7.0,0.161,-7.997000000000001,1.0,0.0292,133.018,4.0,0.7140000000000001,0.09558731058472747018,1.0
seein' red,dustin lynch,f,194893,0.054000000000000006,0.6509999999999999,0.8079999999999999,0.0,1.0,0.0482,-4.731,0.0,0.0435,100.993,4.0,0.858,0.13919726851757671792,1.0
so what the fuss,stevie wonder,f,304293,0.218,0.83,0.763,0.0,10.0,0.314,-3.826,0.0,0.16399999999999998,87.92200000000004,4.0,0.924,0.01041666666666666667,1.0
angel,jon secada,f,275040,0.295,0.485,0.47700000000000004,0.0000335,0.0,0.20199999999999999,-8.948,1.0,0.0262,151.704,4.0,0.134,0.76416450440684677406,1.0
angel,jon secada,f,276000,0.344,0.48100000000000004,0.462,0.000013000000000000001,0.0,0.179,-9.084,1.0,0.0268,151.601,4.0,0.147,0.76416450440684677406,1.0
angel,jon secada,f,276906,0.305,0.486,0.467,0.0000414,0.0,0.21100000000000002,-9.124,1.0,0.0262,151.61700000000005,4.0,0.138,0.76416450440684677406,1.0
angel,jon secada,f,278720,0.226,0.498,0.521,0.00007730000000000001,0.0,0.141,-7.58,1.0,0.0275,75.794,4.0,0.151,0.76416450440684677406,1.0
angel,jon secada,f,278800,0.276,0.485,0.493,0.000021899999999999997,0.0,0.12300000000000001,-7.992000000000001,1.0,0.0263,151.71,4.0,0.16,0.76416450440684677406,1.0
angel,jon secada,f,209173,0.866,0.415,0.222,0.00000247,7.0,0.19,-10.503,1.0,0.0332,116.14399999999999,4.0,0.191,0.76416450440684677406,1.0
whatever you like,t.i.,f,249533,0.0202,0.68,0.672,0.0,0.0,0.22399999999999998,-6.199,1.0,0.0814,149.994,4.0,0.495,11.63809947057334608449,1.0
whatever you like,t.i.,f,249533,0.0202,0.68,0.672,0.0,0.0,0.22399999999999998,-6.199,1.0,0.0814,149.994,4.0,0.495,11.63809947057334608449,1.0
whatever you like,t.i.,t,249533,0.0161,0.68,0.687,0.0,9.0,0.261,-6.162000000000001,0.0,0.0709,150.053,4.0,0.467,11.63809947057334608449,1.0
whatever you like,t.i.,t,249533,0.0161,0.68,0.687,0.0,9.0,0.261,-6.162000000000001,0.0,0.0709,150.053,4.0,0.467,11.63809947057334608449,1.0
celebrity,brad paisley,f,223200,0.37799999999999995,0.642,0.75,0.000013300000000000001,0.0,0.139,-7.318,1.0,0.0313,123.81299999999999,4.0,0.795,0.41168314686178964651,1.0
